Order ID,Date,Product,Category,Region,Units Sold,Unit Price,Sales
ORD-2336,2022-01-01,Nouilles soba 100% sarrasin,Riz & Nouilles,Île-de-France,2,5.5,11.0
ORD-2985,2022-01-01,Ramen instantanés au potage vegan,Riz & Nouilles,Provence-Alpes-Côte d'Azur,6,3.2,19.2
ORD-3082,2022-01-02,Nouilles soba,Riz & Nouilles,Auvergne-Rhône-Alpes,3,4.9,14.7
ORD-2515,2022-01-03,Coffret découverte thés,Coffrets,Auvergne-Rhône-Alpes,1,29.9,29.9
ORD-3183,2022-01-03,Thé vert japonais,Boissons,Auvergne-Rhône-Alpes,2,8.9,17.8
ORD-1286,2022-01-03,Amazake,Boissons,Nouvelle-Aquitaine,1,6.9,6.9
ORD-2132,2022-01-03,Ramen instantanés au miso sans gluten,Riz & Nouilles,Nouvelle-Aquitaine,3,4.1,12.3
ORD-2122,2022-01-04,Coffret art de cuisiner japonais,Coffrets,Provence-Alpes-Côte d'Azur,2,59.9,119.8
ORD-3266,2022-01-06,Ramen instantanés au potage vegan,Riz & Nouilles,Île-de-France,2,3.2,6.4
ORD-1391,2022-01-06,Ramen instantanés au curry vegan 2 portions,Riz & Nouilles,Île-de-France,1,4.9,4.9
ORD-2023,2022-01-06,Nouilles soba,Riz & Nouilles,Occitanie,1,4.9,4.9
ORD-1042,2022-01-07,Nouilles udon précuites avec bouillon 3 portions,Riz & Nouilles,Île-de-France,1,5.6,5.6
ORD-1731,2022-01-07,Nouilles udon précuites avec sauce 3 portions,Riz & Nouilles,Nouvelle-Aquitaine,1,5.6,5.6
ORD-2872,2022-01-08,Sauce ponzu,Condiments,Île-de-France,1,6.9,6.9
ORD-2149,2022-01-08,Ramen au yuzu vegan 2 portions,Riz & Nouilles,Île-de-France,2,5.65,11.3
ORD-2354,2022-01-09,Vinaigre de riz iRASSHAi,Essentiels,Île-de-France,1,5.9,5.9
ORD-2262,2022-01-09,Thé vert japonais,Boissons,Île-de-France,3,8.9,26.7
ORD-3319,2022-01-09,Ramen instantanés sauce soja sans gluten,Riz & Nouilles,Hauts-de-France,4,4.1,16.4
ORD-2254,2022-01-10,Sauce soja iRASSHAi,Essentiels,Grand Est,4,6.9,27.6
ORD-2560,2022-01-10,Nouilles udon précuites avec bouillon 3 portions,Riz & Nouilles,Île-de-France,2,5.6,11.2
ORD-2540,2022-01-11,Nouilles soba 100% sarrasin,Riz & Nouilles,Grand Est,2,5.5,11.0
ORD-1529,2022-01-11,Nouilles soba 100% sarrasin,Riz & Nouilles,Nouvelle-Aquitaine,3,5.5,16.5
ORD-1160,2022-01-12,Ramen instantanés sauce soja sans gluten,Riz & Nouilles,Occitanie,2,4.1,8.2
ORD-1180,2022-01-13,Ramen tantan men piquant vegan 2 portions,Riz & Nouilles,Nouvelle-Aquitaine,3,4.9,14.7
ORD-1795,2022-01-14,Nouilles yakisoba avec sauce 2 portions,Riz & Nouilles,Corse,4,4.5,18.0
ORD-1800,2022-01-14,Mirin iRASSHAi,Essentiels,Île-de-France,1,6.5,6.5
ORD-2488,2022-01-14,Matcha iRASSHAi,Essentiels,Île-de-France,2,12.9,25.8
ORD-2524,2022-01-15,Wasabi,Condiments,Île-de-France,1,8.9,8.9
ORD-2654,2022-01-15,Sauce teriyaki iRASSHAi,Essentiels,Auvergne-Rhône-Alpes,1,6.9,6.9
ORD-1973,2022-01-17,Coffret art de cuisiner japonais,Coffrets,Île-de-France,1,59.9,59.9
ORD-1980,2022-01-18,Sauce ponzu,Condiments,Auvergne-Rhône-Alpes,1,6.9,6.9
